# Data source: SEC EDGAR (data.sec.gov)
# Screener Parameters:
# Revenue >= 0.0
# NetIncome >= 0.0
# EPS >= 0.0
# Debt/Assets <= 0.8

Ticker,Company,CIK,ReportDate,Revenue,NetIncome,NetMargin%,RevenueYoY%,Assets,Liabilities,Equity,Debt/Assets%,EPS,SharesOut
EMN,EASTMAN CHEMICAL CO,0000915389,2024-12-31,9382000000,905000000,9.65,1.87,15213000000,9361000000,5779000000.0,61.53,7.75,114069800.0
VG,"Venture Global, Inc.",0002007855,2025-09-30,9324000000,1542000000,16.54,,50079000000,39258000000,5692000000.0,78.39,0.49,
ZTS,Zoetis Inc.,0001555280,2024-12-31,9256000000,2486000000,26.86,8.33,14237000000,9467000000,4770000000.0,66.5,5.47,440693214.0
NXPI,NXP Semiconductors N.V.,0001413447,2025-09-28,9256000000,2510000000,27.12,-2.55,24385000000,15927000000,9183000000.0,65.31,9.84,251674471.0
OSCR,"Oscar Health, Inc.",0001568651,2024-12-31,9177564000,25432000,0.28,56.54,4840496000,3824071000,1013586000.0,79.0,0.11,
OVV,Ovintiv Inc.,0001792580,2024-12-31,9152000000,1125000000,12.29,-15.91,19254000000,8923000000,10331000000.0,46.34,4.25,253258560.0
FTI,TechnipFMC plc,0001681459,2024-12-31,9083300000,842900000,9.28,16.09,9869200000,6730800000,3093800000.0,68.2,1.96,404520086.0
ASML,ASML HOLDING NV,0000937966,2024-12-31,9052800000,7571600000,83.64,,48589600000,30112800000,18476800000.0,61.97,19.25,393283720.0
AMRZ,Amrize Ltd,0002035989,2025-09-30,8976000000,887000000,9.88,,24035000000,11137000000,12901000000.0,46.34,1.6,553082069.0
WCN,"WASTE CONNECTIONS, INC.",0001318220,2024-12-31,8919591000,617573000,6.92,11.19,19817809000,11957455000,7860354000.0,60.34,2.39,256023511.0
GPK,Graphic Packaging Holding Co,0001408075,2024-12-31,8807000000,658000000,7.47,-6.59,11144000000,10800000,3012000000.0,0.1,2.16,295123112.0
ABM,ABM INDUSTRIES INC,0000771497,2025-10-31,8745900000,162400000,1.86,4.62,5269500000,3483800000,1785600000.0,66.11,2.61,60177625.0
XYL,Xylem Inc.,0001524472,2024-12-31,8562000000,890000000,10.39,16.27,16493000000,5611000000,10642000000.0,34.02,3.67,243469063.0
DOLE,Dole plc,0001857475,2024-12-31,8475343000,125513000,1.48,2.79,4446363000,3011445000,1293299000.0,67.73,1.32,95040517.0
CRM,"Salesforce, Inc.",0001108524,2025-01-31,8391984000,6197000000,73.84,291.28,102928000000,41755000000,61173000000.0,40.57,6.44,937000000.0
WCC,"WESCO International, Inc.",0000929008,2024-12-31,8358917000,717600000,8.58,2.23,15061400000,10095900000,4970700000.0,67.03,13.26,48646230.0
STM,STMicroelectronics N.V.,0000932787,2024-12-31,8347000000,1557000000,18.65,19.7,24743000000,7064000000,17449000000.0,28.55,1.73,898175408.0
SOLV,SOLVENTUM CORPORATION,0001964738,2024-12-31,8254000000,479000000,5.8,0.7,14457000000,11498000000,2959000000.0,79.53,2.77,173447557.0
ORI,OLD REPUBLIC INTERNATIONAL CORPORATION,0000074260,2024-12-31,8231500000,852700000,10.36,13.41,27843100000,22224100000,5618900000.0,79.82,3.3,247450000.0
PLD,"Prologis, Inc.",0001045609,2024-12-31,8201610000,3731635000,45.5,2.22,95328909000,36712139000,53951138000.0,38.51,4.02,928867000.0
POST,"POST HOLDINGS, INC.",0001530950,2025-09-30,8158100000,335700000,4.11,2.97,13528400000,9764600000,3753100000.0,72.18,5.98,52154798.0
HSY,HERSHEY CO,0000047111,2024-12-31,8149719000,2221239000,27.26,2.05,12946861000,8232207000,4714654000.0,63.58,0.66,223805223.0
AER,AERCAP HOLDINGS N.V.,0001378789,2024-12-31,7996644000,2098632000,26.24,5.49,71441976000,54257144000,17184623000.0,75.95,11.06,186783225.0
WELL,WELLTOWER INC.,0000766704,2024-12-31,7991118000,217610000,2.72,20.38,51044308000,18471722000,31956208000.0,36.19,1.58,686328043.0
CMC,COMMERCIAL METALS Co,0000022444,2025-08-31,7918430000,84662000,1.07,25.57,7171834000,2978508000,4193066000.0,41.53,0.75,110907418.0
VMC,VULCAN MATERIALS COMPANY,0001396009,2024-12-31,7781900000,911900000,11.72,6.38,17104800000,8962300000,8118600000.0,52.4,6.89,132130905.0
SFM,"Sprouts Farmers Market, Inc.",0001575515,2024-12-29,7719290000,380601000,4.93,12.9,3640699000,2318806000,1321893000.0,63.69,3.79,97369439.0
EA,ELECTRONIC ARTS INC.,0000712515,2025-03-31,7463000000,1121000000,15.02,-1.31,12368000000,5982000000,6386000000.0,48.37,4.28,249404562.0
CNM,"Core & Main, Inc.",0001856525,2025-02-02,7441000000,411000000,5.52,11.03,5870000000,4096000000,1698000000.0,69.78,2.14,
KNX,Knight-Swift Transportation Holdings Inc.,0001492691,2024-12-31,7410078000,117626000,1.59,3.76,12698532000,5581727000,7108967000.0,43.96,0.73,162339000.0
NOV,NOV INC.,0001021860,2024-12-31,7304000000,635000000,8.69,0.73,11361000000,4933000000,6376000000.0,43.42,1.62,364752877.0
TCOM,Trip.com Group Limited,0001269238,2024-12-31,7302000000,2338000000,32.02,16.48,33233000000,13576000000,19427000000.0,40.85,4.49,653270717.0
UGI,UGI CORP,0000884614,2025-09-30,7287000000,678000000,9.3,1.07,15462000000,10676000000,4777000000.0,69.05,3.15,214527913.0
JBHT,"J.B. HUNT TRANSPORT SERVICES, INC",0000728535,2024-12-31,7189568000,570886000,7.94,9.67,8312270000,4297765000,4014505000.0,51.7,5.6,95218346.0
PII,POLARIS INC.,0000931015,2024-12-31,7175400000,110800000,1.54,-19.69,5525200000,4224700000,1289900000.0,76.46,1.96,56248333.0
OC,Owens Corning,0001370946,2024-12-31,7160000000,647000000,9.04,1.46,14075000000,8955000000,5077000000.0,63.62,7.45,82191739.0
VYX,NCR VOYIX CORPORATION,0000070866,2024-12-31,7156000000,958000000,13.39,15.29,4452000000,3245000000,933000000.0,72.89,6.52,138497523.0
TOL,"Toll Brothers, Inc.",0000794170,2025-10-31,7143258000,1346486000,18.85,,14519866000,6233802000,8270663000.0,42.93,13.6,95003000.0
